,y,x,street_count,highway,ref
268533992,-37.8107917,144.9755669,3,,
268533994,-37.8110689,144.9780523,4,,
269327461,-37.8164564,144.9790645,4,,
269334278,-37.815794,144.9741728,3,,
269335005,-37.8183459,144.9793004,3,,
269335006,-37.8169162,144.9795584,3,,
269335114,-37.8097788,144.9783955,4,,
269335115,-37.8098826,144.9783802,4,,
269335260,-37.8083046,144.9786402,3,,
269335261,-37.8086934,144.9785694,4,,
269335418,-37.8121256,144.9780003,3,,
269335444,-37.8110856,144.9781728,3,,
277089855,-37.8077834,144.9713072,3,,
277089910,-37.8075598,144.970525,4,,
277089929,-37.8093042,144.9721881,4,,
277095753,-37.8059019,144.9744603,1,,
277164392,-37.8230673,144.9780897,3,,
287629445,-37.8051541,144.9489972,3,,
287630732,-37.8052876,144.9431245,3,,
287630739,-37.8053988,144.9436075,1,,
287630779,-37.8054717,144.9440307,4,,
287630810,-37.8063221,144.9473845,1,crossing,
289597153,-37.8113932,144.9533344,4,,
289597163,-37.8121466,144.9507946,3,,
289597173,-37.8125587,144.9492799,3,,
289597248,-37.810539,144.952454,3,,
289597255,-37.8104168,144.9528992,4,,
289602682,-37.8134164,144.9503427,3,,
289602744,-37.8116738,144.9482388,4,,
289602822,-37.8114943,144.9480859,3,,
291210710,-37.8068399,144.9651314,3,,
291210712,-37.8061049,144.9659246,4,,
291210792,-37.805942,144.9644683,3,,
296027680,-37.8118467,144.9452516,3,,
296027698,-37.812077,144.9447568,3,,
296027721,-37.8123715,144.9453987,3,,
296038801,-37.8085722,144.955594,3,,
297178797,-37.8221926,144.9515828,3,,
298045595,-37.8245864,144.9637446,4,,
298045597,-37.8246544,144.963651,4,,
298045607,-37.8241906,144.9632029,4,,
298045614,-37.8227467,144.9667789,3,,
298045618,-37.8231835,144.9661578,4,,
298045619,-37.8232267,144.9661383,4,,
301537530,-37.8192943,144.9458405,3,,
301537532,-37.8193576,144.9452144,3,,
301537533,-37.8194644,144.9452532,4,,
301537538,-37.8196757,144.9441947,3,,
301537539,-37.8197578,144.9442447,4,,
301537542,-37.8198872,144.9437787,3,,
301537543,-37.8198032,144.9437638,4,,
301537546,-37.8200987,144.9427235,4,,
301542605,-37.8218859,144.9506443,4,,
301542621,-37.8184468,144.9487972,3,,
301542631,-37.8214717,144.9503119,2,,
301542636,-37.8211319,144.9509954,3,,
301542641,-37.8194074,144.9496208,3,,
301542645,-37.8197113,144.948599,4,,
301544523,-37.8181744,144.9493372,3,,
301544524,-37.8182698,144.949383,4,,
301544532,-37.8201599,144.9509071,2,,
305106872,-37.8082003,144.9433189,3,,
305106965,-37.8087529,144.9452436,3,,
305106972,-37.8063997,144.9422572,3,,
306382946,-37.8062789,144.9419617,4,,
306904043,-37.8088197,144.9490828,3,,
310729981,-37.8131532,144.9391179,3,,
313278042,-37.8093191,144.9625898,1,,
313278043,-37.8092153,144.9629469,1,,
313278047,-37.8095775,144.9617162,3,,
317537930,-37.8094511,144.972098,4,,
317729593,-37.8093782,144.9565059,3,,
317729594,-37.809291,144.9573247,2,,
317729599,-37.8094711,144.9572886,3,,
319157074,-37.8078201,144.965739,3,,
319157116,-37.807445,144.9670196,3,,
319157918,-37.8050952,144.9685561,3,,
319157922,-37.8050698,144.9683078,3,,
319159694,-37.8101542,144.9577029,3,,
319159699,-37.8095009,144.9575262,3,,
332152660,-37.8068718,144.9781852,3,,
332152661,-37.8068126,144.9776248,1,,
332543902,-37.8054093,144.942993,4,,
332544824,-37.805423,144.9431073,4,,
332544825,-37.8055124,144.9430994,4,,
332544858,-37.8100669,144.9500116,4,,
332544859,-37.8101575,144.9500656,4,,
332544860,-37.8110742,144.950538,4,,
332544861,-37.8120617,144.9509831,4,,
332544866,-37.8101114,144.949889,4,,
332544910,-37.8098988,144.9506001,3,,
332544912,-37.8102047,144.949947,4,,
332546017,-37.8093655,144.9493376,4,,
332546101,-37.8060932,144.944804,4,,
332546227,-37.8088897,144.94895,3,,
332546228,-37.8085608,144.9486522,4,,
332546323,-37.8069162,144.9428347,3,,
332549397,-37.8070802,144.9470717,4,,
332549398,-37.8077615,144.9479984,4,,
332549399,-37.8091977,144.9493989,4,,
332549400,-37.808394,144.9486959,4,,
332549401,-37.805462,144.9433046,3,,
332549406,-37.8084799,144.9487843,4,,
356125188,-37.8184073,144.9798435,3,,
356125230,-37.8168491,144.9789949,3,,
356125287,-37.817493,144.9799952,3,,
361797592,-37.8059178,144.9788383,3,,
364861092,-37.8241483,144.9587641,4,,
